QQQ10484.	Hall/VdC Norms: Male#0001	setID 
QQQ10485.	Hall/VdC Norms: Male#0002	setIQ 
QQQ10486.	Hall/VdC Norms: Male#0003	setIF setOF 
QQQ10487.	Hall/VdC Norms: Male#0004	setIF 
QQQ10488.	Hall/VdC Norms: Male#0005	setIQ 
QQQ10489.	Hall/VdC Norms: Male#0006	setOU 
QQQ10490.	Hall/VdC Norms: Male#0007	setOU 
QQQ10491.	Hall/VdC Norms: Male#0008	setIQ 
QQQ10492.	Hall/VdC Norms: Male#0009	setOU 
QQQ10493.	Hall/VdC Norms: Male#0010	setOU 
QQQ10494.	Hall/VdC Norms: Male#0011	setIG setOG 
QQQ10495.	Hall/VdC Norms: Male#0012	setIF setIF 
QQQ10496.	Hall/VdC Norms: Male#0013	setOF 
QQQ10497.	Hall/VdC Norms: Male#0014	setOF 
QQQ10498.	Hall/VdC Norms: Male#0015	setOQ setIQ setOQ 
QQQ10499.	Hall/VdC Norms: Male#0016	setIQ 
QQQ10500.	Hall/VdC Norms: Male#0017	setIQ 
QQQ10501.	Hall/VdC Norms: Male#0018	setOU 
QQQ10502.	Hall/VdC Norms: Male#0019	setIF 
QQQ10503.	Hall/VdC Norms: Male#0020	setOG setIG 
QQQ10504.	Hall/VdC Norms: Male#0021	setNS 
QQQ10505.	Hall/VdC Norms: Male#0022	setNS 
QQQ10506.	Hall/VdC Norms: Male#0023	setOQ 
QQQ10507.	Hall/VdC Norms: Male#0024	setOU 
QQQ10508.	Hall/VdC Norms: Male#0025	setOF 
QQQ10509.	Hall/VdC Norms: Male#0026	setOF 
QQQ10510.	Hall/VdC Norms: Male#0027	setOU setOU 
QQQ10511.	Hall/VdC Norms: Male#0028	setIU setOU 
QQQ10512.	Hall/VdC Norms: Male#0029	setIU 
QQQ10513.	Hall/VdC Norms: Male#0030	setIU 
QQQ10514.	Hall/VdC Norms: Male#0031	setOQ 
QQQ10515.	Hall/VdC Norms: Male#0032	setOQ 
QQQ10516.	Hall/VdC Norms: Male#0033	setAU 
QQQ10517.	Hall/VdC Norms: Male#0034	setOF 
QQQ10518.	Hall/VdC Norms: Male#0035	setIQ 
QQQ10519.	Hall/VdC Norms: Male#0036	setIU 
QQQ10520.	Hall/VdC Norms: Male#0037	setOU 
QQQ10521.	Hall/VdC Norms: Male#0038	setOF 
QQQ10522.	Hall/VdC Norms: Male#0039	setIQ 
QQQ10523.	Hall/VdC Norms: Male#0040	setOQ 
QQQ10524.	Hall/VdC Norms: Male#0041	setIQ setAQ setOQ 
QQQ10525.	Hall/VdC Norms: Male#0042	setIF 
QQQ10526.	Hall/VdC Norms: Male#0043	setIF 
QQQ10527.	Hall/VdC Norms: Male#0044	setIQ 
QQQ10528.	Hall/VdC Norms: Male#0045	setIF 
QQQ10529.	Hall/VdC Norms: Male#0046	setIQ 
QQQ10530.	Hall/VdC Norms: Male#0047	setIQ 
