
QQQ9994.	Hall/VdC Norms: Female#0001	1MKA 1FMA 1IUA 1MKA 
QQQ9995.	Hall/VdC Norms: Female#0002	1MRA 1MBC 1FMA 
QQQ9996.	Hall/VdC Norms: Female#0003	1MEA 1FTT 
QQQ9997.	Hall/VdC Norms: Female#0004	1MKA 
QQQ9998.	Hall/VdC Norms: Female#0005	2JKA 
QQQ9999.	Hall/VdC Norms: Female#0006	1FKA 
QQQ10000.	Hall/VdC Norms: Female#0007	1MSA 1MOA 2MOA 
QQQ10001.	Hall/VdC Norms: Female#0008	1MKA 2FKA 1MFA 
QQQ10002.	Hall/VdC Norms: Female#0009	1FUA 1MSA 
QQQ10003.	Hall/VdC Norms: Female#0010	1MSA 1FKA 1MFA 
QQQ10004.	Hall/VdC Norms: Female#0011	1MKA 1MKA 
QQQ10005.	Hall/VdC Norms: Female#0012	1MKA 1MOA 
QQQ10006.	Hall/VdC Norms: Female#0013	1FKA 7MKA 8MKA 
QQQ10007.	Hall/VdC Norms: Female#0014	1MKA 
QQQ10008.	Hall/VdC Norms: Female#0015	1FKA 1MPA 1FPA 1MKA 
QQQ10009.	Hall/VdC Norms: Female#0016	1ANI 1FTA 
QQQ10010.	Hall/VdC Norms: Female#0017	1MKA 
QQQ10011.	Hall/VdC Norms: Female#0018	2FSA 
QQQ10012.	Hall/VdC Norms: Female#0019	2JSA 1MSA 2JSA 
QQQ10013.	Hall/VdC Norms: Female#0020	1FTA 
QQQ10014.	Hall/VdC Norms: Female#0021	1MKA 
QQQ10015.	Hall/VdC Norms: Female#0022	1FKA 
QQQ10016.	Hall/VdC Norms: Female#0023	1MOA 
QQQ10017.	Hall/VdC Norms: Female#0024	2JSA 1ISA 1FOA 
QQQ10018.	Hall/VdC Norms: Female#0025	2IUA 1FKA 1IOA 3ISA 
QQQ10019.	Hall/VdC Norms: Female#0026	
QQQ10020.	Hall/VdC Norms: Female#0027	1FKA 1MKA 
QQQ10021.	Hall/VdC Norms: Female#0028	1MKC 1FKA 1MKC 2JUA 1MUA 1FSA 1FKC 
QQQ10022.	Hall/VdC Norms: Female#0029	1FMA 
QQQ10023.	Hall/VdC Norms: Female#0030	1MSA 1FTT 1MFA 
QQQ10024.	Hall/VdC Norms: Female#0031	1MKA 
QQQ10025.	Hall/VdC Norms: Female#0032	1MFA 1FMA 1FTC 
QQQ10026.	Hall/VdC Norms: Female#0033	1MSA 1MSA 
QQQ10027.	Hall/VdC Norms: Female#0034	1MKA 
QQQ10028.	Hall/VdC Norms: Female#0035	1FKA 2FOA 
QQQ10029.	Hall/VdC Norms: Female#0036	1FKA 1FKA 2IUA 1MKA 1IUB 
QQQ10030.	Hall/VdC Norms: Female#0037	2JUA 1FKA 
QQQ10031.	Hall/VdC Norms: Female#0038	1MKA 1FKA 
QQQ10032.	Hall/VdC Norms: Female#0039	2FEA 1FUA 2MKA 
QQQ10033.	Hall/VdC Norms: Female#0040	2IOA 
QQQ10034.	Hall/VdC Norms: Female#0041	2FKA 1FKA 
QQQ10035.	Hall/VdC Norms: Female#0042	1FKA 1FKA 1FKA 1MUA 2MKA 
QQQ10036.	Hall/VdC Norms: Female#0043	1FKA 2FKA 
QQQ10037.	Hall/VdC Norms: Female#0044	2FKA 2JSA 1FKA 
QQQ10038.	Hall/VdC Norms: Female#0045	1FUA 1FUA 2JKA 1MOA 2JXA 
QQQ10039.	Hall/VdC Norms: Female#0046	1FSA 1MSA 2JKC 
QQQ10040.	Hall/VdC Norms: Female#0047	1MKA 
QQQ10041.	Hall/VdC Norms: Female#0048	1MKA 
QQQ10042.	Hall/VdC Norms: Female#0049	1FKA 1MKA 
QQQ10043.	Hall/VdC Norms: Female#0050	1MKA 
QQQ10044.	Hall/VdC Norms: Female#0051	2JYA 1FKA 1FMA 1ANI 
QQQ10045.	Hall/VdC Norms: Female#0052	1MKA 1MKA 1MFA 1MPA 
QQQ10046.	Hall/VdC Norms: Female#0053	1FUA 1MKA 2MSC 2JUC 
QQQ10047.	Hall/VdC Norms: Female#0054	
QQQ10048.	Hall/VdC Norms: Female#0055	1FKA 1MOA 2JOA 3MSA 
QQQ10049.	Hall/VdC Norms: Female#0056	2JSA 1MSA 1MBA 
QQQ10050.	Hall/VdC Norms: Female#0057	1MSA 
QQQ10051.	Hall/VdC Norms: Female#0058	1MKA 1FMA 
QQQ10052.	Hall/VdC Norms: Female#0059	1FKA 2FUA 1FUA 
QQQ10053.	Hall/VdC Norms: Female#0060	1FKA 2JSA 
QQQ10054.	Hall/VdC Norms: Female#0061	1MSA 2FOA 
QQQ10055.	Hall/VdC Norms: Female#0062	1IUA 1IUA 
QQQ10056.	Hall/VdC Norms: Female#0063	1FKA 1MKA 
QQQ10057.	Hall/VdC Norms: Female#0064	1FKA 1MKA 1IUA 
QQQ10058.	Hall/VdC Norms: Female#0065	1IKA 1MKA 1FUA 1MOA 2JXA 
QQQ10059.	Hall/VdC Norms: Female#0066	1FKA 1FKA 
QQQ10060.	Hall/VdC Norms: Female#0067	1FKA 1FKA 1IUA 2JKA 
QQQ10061.	Hall/VdC Norms: Female#0068	1MUA 
QQQ10062.	Hall/VdC Norms: Female#0069	2JXA 1MFA 2JRA 1MRA 1MKA 5FIB 
QQQ10063.	Hall/VdC Norms: Female#0070	2IOA 2JOA 1FKA 1IOA 1IUA 
QQQ10064.	Hall/VdC Norms: Female#0071	1MFA 1MBT 1MSA 
QQQ10065.	Hall/VdC Norms: Female#0072	2FSA 1MKA 
QQQ10066.	Hall/VdC Norms: Female#0073	1MSA 1FSA 1MKA 2JUC 
QQQ10067.	Hall/VdC Norms: Female#0074	1FKA 
QQQ10068.	Hall/VdC Norms: Female#0075	1MBT 1MSA 
QQQ10069.	Hall/VdC Norms: Female#0076	2FKA 1FOA 2JUA 2ANI 
QQQ10070.	Hall/VdC Norms: Female#0077	1MFA 1FTA 
QQQ10071.	Hall/VdC Norms: Female#0078	1MFA 
QQQ10072.	Hall/VdC Norms: Female#0079	1MFA 1FMA 
