
QQQ10484.	Hall/VdC Norms: Male#0001	emoAP 
QQQ10485.	Hall/VdC Norms: Male#0002	
QQQ10486.	Hall/VdC Norms: Male#0003	
QQQ10487.	Hall/VdC Norms: Male#0004	
QQQ10488.	Hall/VdC Norms: Male#0005	
QQQ10489.	Hall/VdC Norms: Male#0006	emoAN 
QQQ10490.	Hall/VdC Norms: Male#0007	emoHA 
QQQ10491.	Hall/VdC Norms: Male#0008	emoHA 
QQQ10492.	Hall/VdC Norms: Male#0009	emoAP 
QQQ10493.	Hall/VdC Norms: Male#0010	
QQQ10494.	Hall/VdC Norms: Male#0011	
QQQ10495.	Hall/VdC Norms: Male#0012	emoAP 
QQQ10496.	Hall/VdC Norms: Male#0013	
QQQ10497.	Hall/VdC Norms: Male#0014	emoCO emoAN 
QQQ10498.	Hall/VdC Norms: Male#0015	
QQQ10499.	Hall/VdC Norms: Male#0016	
QQQ10500.	Hall/VdC Norms: Male#0017	
QQQ10501.	Hall/VdC Norms: Male#0018	
QQQ10502.	Hall/VdC Norms: Male#0019	emoCO 
QQQ10503.	Hall/VdC Norms: Male#0020	
QQQ10504.	Hall/VdC Norms: Male#0021	
QQQ10505.	Hall/VdC Norms: Male#0022	
QQQ10506.	Hall/VdC Norms: Male#0023	
QQQ10507.	Hall/VdC Norms: Male#0024	
QQQ10508.	Hall/VdC Norms: Male#0025	
QQQ10509.	Hall/VdC Norms: Male#0026	emoCO 
QQQ10510.	Hall/VdC Norms: Male#0027	emoAP emoAP 
QQQ10511.	Hall/VdC Norms: Male#0028	
QQQ10512.	Hall/VdC Norms: Male#0029	
QQQ10513.	Hall/VdC Norms: Male#0030	
QQQ10514.	Hall/VdC Norms: Male#0031	
QQQ10515.	Hall/VdC Norms: Male#0032	
QQQ10516.	Hall/VdC Norms: Male#0033	
QQQ10517.	Hall/VdC Norms: Male#0034	emoHA 
QQQ10518.	Hall/VdC Norms: Male#0035	
QQQ10519.	Hall/VdC Norms: Male#0036	emoCO 
QQQ10520.	Hall/VdC Norms: Male#0037	emoCO 
QQQ10521.	Hall/VdC Norms: Male#0038	
QQQ10522.	Hall/VdC Norms: Male#0039	emoCO 
QQQ10523.	Hall/VdC Norms: Male#0040	
QQQ10524.	Hall/VdC Norms: Male#0041	
QQQ10525.	Hall/VdC Norms: Male#0042	emoAN emoAN 
QQQ10526.	Hall/VdC Norms: Male#0043	emoAP 
QQQ10527.	Hall/VdC Norms: Male#0044	
QQQ10528.	Hall/VdC Norms: Male#0045	emoCO emoAN 
QQQ10529.	Hall/VdC Norms: Male#0046	emoAN 
QQQ10530.	Hall/VdC Norms: Male#0047	emoHA 
QQQ10531.	Hall/VdC Norms: Male#0048	
QQQ10532.	Hall/VdC Norms: Male#0049	emoAN emoAN emoCO 
QQQ10533.	Hall/VdC Norms: Male#0050	
QQQ10534.	Hall/VdC Norms: Male#0051	
QQQ10535.	Hall/VdC Norms: Male#0052	emoAP 
QQQ10536.	Hall/VdC Norms: Male#0053	
QQQ10537.	Hall/VdC Norms: Male#0054	emoAN 
QQQ10538.	Hall/VdC Norms: Male#0055	emoAP 
QQQ10539.	Hall/VdC Norms: Male#0056	emoAP 
QQQ10540.	Hall/VdC Norms: Male#0057	
QQQ10541.	Hall/VdC Norms: Male#0058	emoAP 
QQQ10542.	Hall/VdC Norms: Male#0059	
QQQ10543.	Hall/VdC Norms: Male#0060	
QQQ10544.	Hall/VdC Norms: Male#0061	
QQQ10545.	Hall/VdC Norms: Male#0062	
QQQ10546.	Hall/VdC Norms: Male#0063	
QQQ10547.	Hall/VdC Norms: Male#0064	
QQQ10548.	Hall/VdC Norms: Male#0065	emoCO emoAP 
QQQ10549.	Hall/VdC Norms: Male#0066	emoAP 
QQQ10550.	Hall/VdC Norms: Male#0067	
QQQ10551.	Hall/VdC Norms: Male#0068	
QQQ10552.	Hall/VdC Norms: Male#0069	
QQQ10553.	Hall/VdC Norms: Male#0070	
QQQ10554.	Hall/VdC Norms: Male#0071	emoAP 
QQQ10555.	Hall/VdC Norms: Male#0072	emoSD emoSD 
QQQ10556.	Hall/VdC Norms: Male#0073	emoAP emoHA 
QQQ10557.	Hall/VdC Norms: Male#0074	
QQQ10558.	Hall/VdC Norms: Male#0075	emoCO 
QQQ10559.	Hall/VdC Norms: Male#0076	
QQQ10560.	Hall/VdC Norms: Male#0077	emoAP 
QQQ10561.	Hall/VdC Norms: Male#0078	
QQQ10562.	Hall/VdC Norms: Male#0079	
QQQ10563.	Hall/VdC Norms: Male#0080	
QQQ10564.	Hall/VdC Norms: Male#0081	
QQQ10565.	Hall/VdC Norms: Male#0082	
QQQ10566.	Hall/VdC Norms: Male#0083	
QQQ10567.	Hall/VdC Norms: Male#0084	
QQQ10568.	Hall/VdC Norms: Male#0085	
QQQ10569.	Hall/VdC Norms: Male#0086	
QQQ10570.	Hall/VdC Norms: Male#0087	emoCO 
QQQ10571.	Hall/VdC Norms: Male#0088	emoAP emoAN emoAP 
QQQ10572.	Hall/VdC Norms: Male#0089	emoAN emoAN emoAN 
QQQ10573.	Hall/VdC Norms: Male#0090	emoAP 
QQQ10574.	Hall/VdC Norms: Male#0091	emoCO emoAP 
QQQ10575.	Hall/VdC Norms: Male#0092	emoCO 
QQQ10576.	Hall/VdC Norms: Male#0093	
QQQ10577.	Hall/VdC Norms: Male#0094	
QQQ10578.	Hall/VdC Norms: Male#0095	emoAN emoAP emoCO emoAN 
QQQ10579.	Hall/VdC Norms: Male#0096	emoAP emoHA 
QQQ10580.	Hall/VdC Norms: Male#0097	
QQQ10581.	Hall/VdC Norms: Male#0098	emoHA 
QQQ10582.	Hall/VdC Norms: Male#0099	
QQQ10583.	Hall/VdC Norms: Male#0100	emoAP 
QQQ10584.	Hall/VdC Norms: Male#0101	
QQQ10585.	Hall/VdC Norms: Male#0102	
QQQ10586.	Hall/VdC Norms: Male#0103	emoAP 
QQQ10587.	Hall/VdC Norms: Male#0104	emoAP 
QQQ10588.	Hall/VdC Norms: Male#0105	emoAP emoHA emoHA 
QQQ10589.	Hall/VdC Norms: Male#0110	
QQQ10590.	Hall/VdC Norms: Male#0111	
QQQ10591.	Hall/VdC Norms: Male#0112	emoSD 
QQQ10592.	Hall/VdC Norms: Male#0113	
QQQ10593.	Hall/VdC Norms: Male#0114	
QQQ10594.	Hall/VdC Norms: Male#0115	
QQQ10595.	Hall/VdC Norms: Male#0116	
QQQ10596.	Hall/VdC Norms: Male#0117	
QQQ10597.	Hall/VdC Norms: Male#0118	
QQQ10598.	Hall/VdC Norms: Male#0119	
QQQ10599.	Hall/VdC Norms: Male#0120	emoCO 
QQQ10600.	Hall/VdC Norms: Male#0121	
QQQ10601.	Hall/VdC Norms: Male#0122	
QQQ10602.	Hall/VdC Norms: Male#0123	
QQQ10603.	Hall/VdC Norms: Male#0124	
QQQ10604.	Hall/VdC Norms: Male#0125	emoHA 
QQQ10605.	Hall/VdC Norms: Male#0126	emoAP 
QQQ10606.	Hall/VdC Norms: Male#0127	
QQQ10607.	Hall/VdC Norms: Male#0128	
QQQ10608.	Hall/VdC Norms: Male#0129	
QQQ10609.	Hall/VdC Norms: Male#0130	
QQQ10610.	Hall/VdC Norms: Male#0131	emoAP 
QQQ10611.	Hall/VdC Norms: Male#0132	
QQQ10612.	Hall/VdC Norms: Male#0133	emoAP 
QQQ10613.	Hall/VdC Norms: Male#0134	
QQQ10614.	Hall/VdC Norms: Male#0135	
QQQ10615.	Hall/VdC Norms: Male#0136	
QQQ10616.	Hall/VdC Norms: Male#0137	
QQQ10617.	Hall/VdC Norms: Male#0138	
QQQ10618.	Hall/VdC Norms: Male#0139	
QQQ10619.	Hall/VdC Norms: Male#0140	
QQQ10620.	Hall/VdC Norms: Male#0141	
QQQ10621.	Hall/VdC Norms: Male#0142	
QQQ10622.	Hall/VdC Norms: Male#0143	
QQQ10623.	Hall/VdC Norms: Male#0144	emoHA 
QQQ10624.	Hall/VdC Norms: Male#0145	emoAN 
QQQ10625.	Hall/VdC Norms: Male#0146	
QQQ10626.	Hall/VdC Norms: Male#0147	
QQQ10627.	Hall/VdC Norms: Male#0148	emoCO 
QQQ10628.	Hall/VdC Norms: Male#0149	
QQQ10629.	Hall/VdC Norms: Male#0150	emoAP 
QQQ10630.	Hall/VdC Norms: Male#0151	
QQQ10631.	Hall/VdC Norms: Male#0152	
QQQ10632.	Hall/VdC Norms: Male#0153	
QQQ10633.	Hall/VdC Norms: Male#0154	emoCO 
QQQ10634.	Hall/VdC Norms: Male#0155	
QQQ10635.	Hall/VdC Norms: Male#0156	emoAP 
QQQ10636.	Hall/VdC Norms: Male#0157	emoAP emoSD 
QQQ10637.	Hall/VdC Norms: Male#0158	
QQQ10638.	Hall/VdC Norms: Male#0159	emoAP 
QQQ10639.	Hall/VdC Norms: Male#0160	
QQQ10640.	Hall/VdC Norms: Male#0161	
QQQ10641.	Hall/VdC Norms: Male#0162	
QQQ10642.	Hall/VdC Norms: Male#0163	
QQQ10643.	Hall/VdC Norms: Male#0164	emoSD 
QQQ10644.	Hall/VdC Norms: Male#0165	
QQQ10645.	Hall/VdC Norms: Male#0166	
QQQ10646.	Hall/VdC Norms: Male#0167	
QQQ10647.	Hall/VdC Norms: Male#0168	
QQQ10648.	Hall/VdC Norms: Male#0169	
QQQ10649.	Hall/VdC Norms: Male#0170	emoAP 
QQQ10650.	Hall/VdC Norms: Male#0171	emoHA emoHA 
QQQ10651.	Hall/VdC Norms: Male#0172	emoAN emoAN 
QQQ10652.	Hall/VdC Norms: Male#0173	emoAP emoAP emoAN 
QQQ10653.	Hall/VdC Norms: Male#0174	emoAN 
QQQ10654.	Hall/VdC Norms: Male#0175	emoAP emoSD 
QQQ10655.	Hall/VdC Norms: Male#0176	emoAP 
QQQ10656.	Hall/VdC Norms: Male#0177	
QQQ10657.	Hall/VdC Norms: Male#0178	emoAP 
QQQ10658.	Hall/VdC Norms: Male#0179	emoSD 
QQQ10659.	Hall/VdC Norms: Male#0180	emoHA 
QQQ10660.	Hall/VdC Norms: Male#0181	
QQQ10661.	Hall/VdC Norms: Male#0182	
QQQ10662.	Hall/VdC Norms: Male#0183	
QQQ10663.	Hall/VdC Norms: Male#0184	
QQQ10664.	Hall/VdC Norms: Male#0185	
QQQ10665.	Hall/VdC Norms: Male#0186	
QQQ10666.	Hall/VdC Norms: Male#0187	
QQQ10667.	Hall/VdC Norms: Male#0188	emoSD 
QQQ10668.	Hall/VdC Norms: Male#0189	
QQQ10669.	Hall/VdC Norms: Male#0190	
QQQ10670.	Hall/VdC Norms: Male#0191	
QQQ10671.	Hall/VdC Norms: Male#0192	emoCO 
QQQ10672.	Hall/VdC Norms: Male#0193	
QQQ10673.	Hall/VdC Norms: Male#0194	
QQQ10674.	Hall/VdC Norms: Male#0195	
QQQ10675.	Hall/VdC Norms: Male#0196	emoHA emoHA emoHA emoHA 
QQQ10676.	Hall/VdC Norms: Male#0197	emoHA emoHA 
QQQ10677.	Hall/VdC Norms: Male#0198	emoHA 
QQQ10678.	Hall/VdC Norms: Male#0199	emoCO 
QQQ10679.	Hall/VdC Norms: Male#0200	emoAP emoHA emoAP 
